2024-10-06 16:13:48,044 - INFO - Start
2024-10-06 16:13:59,565 - INFO - Connect to Drone?
2024-10-06 16:14:01,177 - INFO - Signal Strength: -53
2024-10-06 16:14:01,177 - INFO - Connect to Drone?
2024-10-06 16:14:02,418 - INFO - Signal Strength: -52
2024-10-06 16:14:02,418 - INFO - Arm Drone?
2024-10-06 16:14:02,422 - INFO - Home Position: 34.199778, -118.525490, 241.990000
2024-10-06 16:14:02,423 - INFO - Drone is Arm
2024-10-06 16:14:23,768 - INFO - Signal Strength: -52
2024-10-06 16:14:23,769 - INFO - Testing Commication Range
2024-10-06 16:14:26,761 - INFO - Signal Strength: -52
2024-10-06 16:14:27,298 - INFO - Signal Strength: -51
2024-10-06 16:14:27,300 - INFO - Current Position: 34.199768, -118.525504, 247.460000
2024-10-06 16:14:27,833 - INFO - Signal Strength: -52
2024-10-06 16:14:28,305 - INFO - Current Position: 34.199792, -118.525501, 247.320000
2024-10-06 16:14:33,809 - INFO - Signal Strength: -74
2024-10-06 16:14:34,305 - INFO - Current Position: 34.199797, -118.525502, 246.850000
2024-10-06 16:14:41,813 - INFO - Position: 34.199803, -118.525502, 244.010000
2024-10-06 16:14:41,814 - INFO - Error Lat = 0.000025
2024-10-06 16:14:41,814 - INFO - Error lon = 0.000013
2024-10-06 16:14:41,815 - INFO - Enroute to target Position
2024-10-06 16:14:41,918 - INFO - Position: 34.199805, -118.525502, 243.610000
2024-10-06 16:14:41,919 - INFO - Error Lat = 0.000027
2024-10-06 16:14:41,919 - INFO - Error lon = 0.000012
2024-10-06 16:14:41,919 - INFO - Enroute to target Position
2024-10-06 16:14:42,303 - INFO - Position: 34.199806, -118.525502, 243.970000
2024-10-06 16:14:42,304 - INFO - Error Lat = 0.000027
2024-10-06 16:14:42,304 - INFO - Error lon = 0.000012
2024-10-06 16:14:42,304 - INFO - Enroute to target Position
2024-10-06 16:14:43,303 - INFO - Position: 34.199806, -118.525502, 244.270000
2024-10-06 16:14:43,304 - INFO - Error Lat = 0.000028
2024-10-06 16:14:43,304 - INFO - Error lon = 0.000012
2024-10-06 16:14:43,304 - INFO - Enroute to target Position
2024-10-06 16:14:44,303 - INFO - Position: 34.199807, -118.525501, 244.160000
2024-10-06 16:14:44,304 - INFO - Error Lat = 0.000028
2024-10-06 16:14:44,304 - INFO - Error lon = 0.000011
2024-10-06 16:14:44,304 - INFO - Enroute to target Position
2024-10-06 16:14:45,303 - INFO - Position: 34.199806, -118.525501, 244.130000
2024-10-06 16:14:45,304 - INFO - Error Lat = 0.000028
2024-10-06 16:14:45,304 - INFO - Error lon = 0.000011
2024-10-06 16:14:45,304 - INFO - Enroute to target Position
2024-10-06 16:14:46,305 - INFO - Position: 34.199805, -118.525501, 244.700000
2024-10-06 16:14:46,305 - INFO - Error Lat = 0.000027
2024-10-06 16:14:46,305 - INFO - Error lon = 0.000011
2024-10-06 16:14:46,306 - INFO - Enroute to target Position
2024-10-06 16:14:47,304 - INFO - Position: 34.199806, -118.525500, 244.570000
2024-10-06 16:14:47,304 - INFO - Error Lat = 0.000028
2024-10-06 16:14:47,304 - INFO - Error lon = 0.000011
2024-10-06 16:14:47,305 - INFO - Enroute to target Position
2024-10-06 16:14:48,304 - INFO - Position: 34.199807, -118.525501, 244.730000
2024-10-06 16:14:48,305 - INFO - Error Lat = 0.000028
2024-10-06 16:14:48,305 - INFO - Error lon = 0.000012
2024-10-06 16:14:48,305 - INFO - Enroute to target Position
2024-10-06 16:14:49,305 - INFO - Position: 34.199807, -118.525501, 244.210000
2024-10-06 16:14:49,305 - INFO - Error Lat = 0.000028
2024-10-06 16:14:49,306 - INFO - Error lon = 0.000011
2024-10-06 16:14:49,306 - INFO - Enroute to target Position
2024-10-06 16:14:50,303 - INFO - Position: 34.199807, -118.525502, 244.050000
2024-10-06 16:14:50,304 - INFO - Error Lat = 0.000029
2024-10-06 16:14:50,304 - INFO - Error lon = 0.000012
2024-10-06 16:14:50,304 - INFO - Enroute to target Position
2024-10-06 16:14:51,305 - INFO - Position: 34.199807, -118.525500, 243.820000
2024-10-06 16:14:51,305 - INFO - Error Lat = 0.000028
2024-10-06 16:14:51,306 - INFO - Error lon = 0.000010
2024-10-06 16:14:51,306 - INFO - Enroute to target Position
2024-10-06 16:14:52,304 - INFO - Position: 34.199805, -118.525502, 243.750000
2024-10-06 16:14:52,305 - INFO - Error Lat = 0.000027
2024-10-06 16:14:52,305 - INFO - Error lon = 0.000012
2024-10-06 16:14:52,305 - INFO - Enroute to target Position
2024-10-06 16:14:53,303 - INFO - Position: 34.199807, -118.525501, 244.050000
2024-10-06 16:14:53,304 - INFO - Error Lat = 0.000028
2024-10-06 16:14:53,304 - INFO - Error lon = 0.000012
2024-10-06 16:14:53,304 - INFO - Enroute to target Position
2024-10-06 16:14:54,303 - INFO - Position: 34.199809, -118.525500, 243.170000
2024-10-06 16:14:54,304 - INFO - Error Lat = 0.000031
2024-10-06 16:14:54,304 - INFO - Error lon = 0.000010
2024-10-06 16:14:54,304 - INFO - Enroute to target Position
