2024-10-06 16:23:42,617 - INFO - Start
2024-10-06 16:23:46,849 - INFO - Signal Strength: -40
2024-10-06 16:23:46,849 - INFO - Connect to Drone?
2024-10-06 16:24:21,813 - INFO - Arm Drone?
2024-10-06 16:24:26,512 - INFO - Signal Strength: -41
2024-10-06 16:24:26,513 - INFO - Arm Drone?
2024-10-06 16:24:27,532 - INFO - Home Position: 0.000000, 0.000000, 0.000000
2024-10-06 16:24:27,533 - INFO - Drone is Arm
2024-10-06 16:24:47,753 - INFO - Signal Strength: -43
2024-10-06 16:24:47,754 - INFO - Testing Commication Range
2024-10-06 16:24:49,393 - INFO - Signal Strength: -45
2024-10-06 16:24:49,924 - INFO - Signal Strength: -44
2024-10-06 16:24:49,925 - INFO - Current Position: 0.000000, 0.000000, -17.000000
2024-10-06 16:24:50,446 - INFO - Signal Strength: -44
2024-10-06 16:24:50,544 - INFO - Current Position: 38.773832, -105.818185, 8365.740000
2024-10-06 16:24:56,543 - INFO - Position: 38.580210, -105.546953, 8295.610000
2024-10-06 16:24:56,544 - INFO - Error Lat = 38.580210
2024-10-06 16:24:56,544 - INFO - Error lon = 105.546953
2024-10-06 16:24:56,544 - INFO - Enroute to target Position
2024-10-06 16:24:57,541 - INFO - Position: 38.727872, -105.784433, 8349.070000
2024-10-06 16:24:57,541 - INFO - Error Lat = 38.727872
2024-10-06 16:24:57,542 - INFO - Error lon = 105.784433
2024-10-06 16:24:57,542 - INFO - Enroute to target Position
2024-10-06 16:24:58,541 - INFO - Position: 38.568581, -105.539810, 8291.400000
2024-10-06 16:24:58,542 - INFO - Error Lat = 38.568581
2024-10-06 16:24:58,542 - INFO - Error lon = 105.539810
2024-10-06 16:24:58,542 - INFO - Enroute to target Position
2024-10-06 16:24:59,543 - INFO - Position: 38.562766, -105.536240, 8289.290000
2024-10-06 16:24:59,544 - INFO - Error Lat = 38.562766
2024-10-06 16:24:59,544 - INFO - Error lon = 105.536240
2024-10-06 16:24:59,545 - INFO - Enroute to target Position
2024-10-06 16:25:00,541 - INFO - Position: 41.529411, -119.755066, 9377.840000
2024-10-06 16:25:00,541 - INFO - Error Lat = 41.529411
2024-10-06 16:25:00,542 - INFO - Error lon = 119.755066
2024-10-06 16:25:00,542 - INFO - Enroute to target Position
2024-10-06 16:25:01,543 - INFO - Position: 41.526751, -119.749703, 9376.850000
2024-10-06 16:25:01,543 - INFO - Error Lat = 41.526751
2024-10-06 16:25:01,545 - INFO - Error lon = 119.749703
2024-10-06 16:25:01,546 - INFO - Enroute to target Position
2024-10-06 16:25:02,543 - INFO - Position: 41.526805, -119.337404, 9376.710000
2024-10-06 16:25:02,544 - INFO - Error Lat = 41.526805
2024-10-06 16:25:02,544 - INFO - Error lon = 119.337404
2024-10-06 16:25:02,544 - INFO - Enroute to target Position
2024-10-06 16:25:03,543 - INFO - Position: 41.524020, -119.332073, 9375.670000
2024-10-06 16:25:03,543 - INFO - Error Lat = 41.524020
2024-10-06 16:25:03,544 - INFO - Error lon = 119.332073
2024-10-06 16:25:03,544 - INFO - Enroute to target Position
2024-10-06 16:25:04,541 - INFO - Position: 41.457136, -119.302937, 9350.960000
2024-10-06 16:25:04,541 - INFO - Error Lat = 41.457136
2024-10-06 16:25:04,541 - INFO - Error lon = 119.302937
2024-10-06 16:25:04,542 - INFO - Enroute to target Position
2024-10-06 16:25:05,543 - INFO - Position: 41.454374, -119.297613, 9349.930000
2024-10-06 16:25:05,543 - INFO - Error Lat = 41.454374
2024-10-06 16:25:05,544 - INFO - Error lon = 119.297613
2024-10-06 16:25:05,544 - INFO - Enroute to target Position
2024-10-06 16:25:06,543 - INFO - Position: 41.451612, -119.292290, 9348.910000
2024-10-06 16:25:06,545 - INFO - Error Lat = 41.451612
2024-10-06 16:25:06,546 - INFO - Error lon = 119.292290
2024-10-06 16:25:06,546 - INFO - Enroute to target Position
2024-10-06 16:25:07,543 - INFO - Position: 41.448849, -119.286968, 9347.890000
2024-10-06 16:25:07,544 - INFO - Error Lat = 41.448849
2024-10-06 16:25:07,544 - INFO - Error lon = 119.286968
2024-10-06 16:25:07,544 - INFO - Enroute to target Position
2024-10-06 16:25:08,540 - INFO - Position: 41.446085, -119.281647, 9346.870000
2024-10-06 16:25:08,541 - INFO - Error Lat = 41.446085
2024-10-06 16:25:08,541 - INFO - Error lon = 119.281647
2024-10-06 16:25:08,541 - INFO - Enroute to target Position
2024-10-06 16:25:09,543 - INFO - Position: 41.378073, -118.836523, 9321.570000
2024-10-06 16:25:09,543 - INFO - Error Lat = 41.378073
2024-10-06 16:25:09,543 - INFO - Error lon = 118.836523
2024-10-06 16:25:09,544 - INFO - Enroute to target Position
2024-10-06 16:25:10,543 - INFO - Position: 41.495628, -119.218779, 9365.140000
2024-10-06 16:25:10,543 - INFO - Error Lat = 41.495628
2024-10-06 16:25:10,543 - INFO - Error lon = 119.218779
2024-10-06 16:25:10,544 - INFO - Enroute to target Position
2024-10-06 16:25:11,543 - INFO - Position: 41.372340, -118.825962, 9319.450000
2024-10-06 16:25:11,544 - INFO - Error Lat = 41.372340
2024-10-06 16:25:11,544 - INFO - Error lon = 118.825962
2024-10-06 16:25:11,544 - INFO - Enroute to target Position
2024-10-06 16:25:12,543 - INFO - Position: 41.369473, -118.820682, 9318.380000
2024-10-06 16:25:12,543 - INFO - Error Lat = 41.369473
2024-10-06 16:25:12,544 - INFO - Error lon = 118.820682
2024-10-06 16:25:12,544 - INFO - Enroute to target Position
2024-10-06 16:25:13,543 - INFO - Position: 41.432253, -119.255053, 9341.750000
2024-10-06 16:25:13,543 - INFO - Error Lat = 41.432253
2024-10-06 16:25:13,544 - INFO - Error lon = 119.255053
2024-10-06 16:25:13,544 - INFO - Enroute to target Position
2024-10-06 16:25:14,540 - INFO - Position: 41.429484, -119.249736, 9340.720000
2024-10-06 16:25:14,541 - INFO - Error Lat = 41.429484
2024-10-06 16:25:14,541 - INFO - Error lon = 119.249736
2024-10-06 16:25:14,541 - INFO - Enroute to target Position
2024-10-06 16:25:15,540 - INFO - Position: 41.426715, -119.244420, 9339.700000
2024-10-06 16:25:15,541 - INFO - Error Lat = 41.426715
2024-10-06 16:25:15,541 - INFO - Error lon = 119.244420
2024-10-06 16:25:15,541 - INFO - Enroute to target Position
2024-10-06 16:25:16,540 - INFO - Position: 41.478759, -119.186881, 9358.890000
2024-10-06 16:25:16,541 - INFO - Error Lat = 41.478759
2024-10-06 16:25:16,541 - INFO - Error lon = 119.186881
2024-10-06 16:25:16,541 - INFO - Enroute to target Position
2024-10-06 16:25:17,543 - INFO - Position: 41.540528, -119.206516, 9381.720000
2024-10-06 16:25:17,543 - INFO - Error Lat = 41.540528
2024-10-06 16:25:17,543 - INFO - Error lon = 119.206516
2024-10-06 16:25:17,544 - INFO - Enroute to target Position
2024-10-06 16:25:18,542 - INFO - Position: 41.537688, -119.201197, 9380.670000
2024-10-06 16:25:18,543 - INFO - Error Lat = 41.537688
2024-10-06 16:25:18,543 - INFO - Error lon = 119.201197
2024-10-06 16:25:18,543 - INFO - Enroute to target Position
2024-10-06 16:25:19,542 - INFO - Position: 41.597312, -119.631617, 9402.880000
2024-10-06 16:25:19,543 - INFO - Error Lat = 41.597312
2024-10-06 16:25:19,543 - INFO - Error lon = 119.631617
2024-10-06 16:25:19,544 - INFO - Enroute to target Position
2024-10-06 16:25:20,542 - INFO - Position: 41.532006, -119.190563, 9378.570000
2024-10-06 16:25:20,543 - INFO - Error Lat = 41.532006
2024-10-06 16:25:20,543 - INFO - Error lon = 119.190563
2024-10-06 16:25:20,543 - INFO - Enroute to target Position
2024-10-06 16:25:21,543 - INFO - Position: 41.529164, -119.185247, 9377.520000
2024-10-06 16:25:21,543 - INFO - Error Lat = 41.529164
2024-10-06 16:25:21,543 - INFO - Error lon = 119.185247
2024-10-06 16:25:21,544 - INFO - Enroute to target Position
2024-10-06 16:25:22,540 - INFO - Position: 41.526320, -119.179931, 9376.460000
2024-10-06 16:25:22,541 - INFO - Error Lat = 41.526320
2024-10-06 16:25:22,541 - INFO - Error lon = 119.179931
2024-10-06 16:25:22,541 - INFO - Enroute to target Position
2024-10-06 16:25:23,540 - INFO - Position: 41.523477, -119.174617, 9375.410000
2024-10-06 16:25:23,541 - INFO - Error Lat = 41.523477
2024-10-06 16:25:23,541 - INFO - Error lon = 119.174617
2024-10-06 16:25:23,541 - INFO - Enroute to target Position
2024-10-06 16:25:24,542 - INFO - Position: 41.583597, -119.604851, 9397.800000
2024-10-06 16:25:24,543 - INFO - Error Lat = 41.583597
2024-10-06 16:25:24,543 - INFO - Error lon = 119.604851
2024-10-06 16:25:24,543 - INFO - Enroute to target Position
2024-10-06 16:25:25,540 - INFO - Position: 41.517787, -119.163991, 9373.300000
2024-10-06 16:25:25,540 - INFO - Error Lat = 41.517787
2024-10-06 16:25:25,541 - INFO - Error lon = 119.163991
2024-10-06 16:25:25,541 - INFO - Enroute to target Position
